Fundo,Data Com,Data Pgto,Valor
BTAL11,19/08/2024,26/08/2024,"0,84000000"
BTAL11,17/07/2024,24/07/2024,"0,84000000"
BTAL11,19/06/2024,26/06/2024,"0,84000000"
BTAL11,20/05/2024,27/05/2024,"0,84000000"
BTAL11,17/04/2024,24/04/2024,"0,65000000"
BTAL11,19/03/2024,26/03/2024,"0,65000000"
BTAL11,21/02/2024,28/02/2024,"0,65000000"
BTAL11,18/01/2024,25/01/2024,"0,65000000"
BTAL11,19/12/2023,27/12/2023,"0,64000000"
BTAL11,21/11/2023,28/11/2023,"0,68000000"
BTAL11,19/10/2023,26/10/2023,"0,71000000"
BTAL11,20/09/2023,27/09/2023,"0,71000000"
CACR11,31/07/2024,08/08/2024,"1,30000000"
CACR11,28/06/2024,08/07/2024,"1,46000000"
CACR11,31/05/2024,10/06/2024,"1,41000000"
CACR11,30/04/2024,09/05/2024,"1,39000000"
CACR11,28/03/2024,08/04/2024,"1,37000000"
CACR11,29/02/2024,08/03/2024,"1,35000000"
CACR11,31/01/2024,08/02/2024,"1,35000000"
CACR11,28/12/2023,09/01/2024,"1,48000000"
CACR11,30/11/2023,08/12/2023,"1,42000000"
CACR11,31/10/2023,09/11/2023,"1,40000000"
CACR11,29/09/2023,09/10/2023,"1,42000000"
CACR11,31/08/2023,11/09/2023,"1,43000000"
CVBI11,08/08/2024,15/08/2024,"0,97000000"
CVBI11,08/07/2024,15/07/2024,"0,88000000"
CVBI11,10/06/2024,17/06/2024,"0,85000000"
CVBI11,09/05/2024,16/05/2024,"1,11000000"
CVBI11,08/04/2024,15/04/2024,"1,08000000"
CVBI11,08/03/2024,15/03/2024,"0,95000000"
CVBI11,08/02/2024,19/02/2024,"1,05000000"
CVBI11,09/01/2024,16/01/2024,"0,85000000"
CVBI11,08/12/2023,15/12/2023,"0,80000000"
CVBI11,09/11/2023,17/11/2023,"0,75000000"
CVBI11,09/10/2023,17/10/2023,"0,70000000"
CVBI11,11/09/2023,18/09/2023,"0,90000000"
FATN11,06/08/2024,14/08/2024,"0,85000000"
FATN11,04/07/2024,12/07/2024,"0,85000000"
FATN11,06/06/2024,14/06/2024,"0,85000000"
FATN11,07/05/2024,15/05/2024,"0,85000000"
FATN11,04/04/2024,12/04/2024,"0,85000000"
FATN11,06/03/2024,14/03/2024,"0,85000000"
FATN11,06/02/2024,16/02/2024,"0,85000000"
FATN11,05/01/2024,15/01/2024,"0,85000000"
FATN11,06/12/2023,14/12/2023,"0,85000000"
FATN11,07/11/2023,16/11/2023,"0,85000000"
FATN11,05/10/2023,16/10/2023,"0,85000000"
FATN11,06/09/2023,15/09/2023,"0,85000000"
GTWR11,31/07/2024,14/08/2024,"0,79000000"
GTWR11,28/06/2024,12/07/2024,"0,79000000"
GTWR11,31/05/2024,14/06/2024,"0,79000000"
GTWR11,30/04/2024,15/05/2024,"0,79000000"
GTWR11,28/03/2024,12/04/2024,"0,79000000"
GTWR11,29/02/2024,14/03/2024,"0,79000000"
GTWR11,31/01/2024,16/02/2024,"0,79000000"
GTWR11,28/12/2023,15/01/2024,"0,79000000"
GTWR11,30/11/2023,14/12/2023,"0,79000000"
GTWR11,31/10/2023,16/11/2023,"0,79000000"
GTWR11,29/09/2023,16/10/2023,"0,79000000"
GTWR11,31/08/2023,15/09/2023,"0,79000000"
HABT11,31/07/2024,12/08/2024,"1,00000000"
HABT11,28/06/2024,12/07/2024,"1,00000000"
HABT11,31/05/2024,12/06/2024,"1,05000000"
HABT11,30/04/2024,12/05/2024,"1,13000000"
HABT11,28/03/2024,12/04/2024,"1,10000000"
HABT11,29/02/2024,12/03/2024,"1,05000000"
HABT11,31/01/2024,09/02/2024,"1,00000000"
HABT11,28/12/2023,12/01/2024,"0,98000000"
HABT11,30/11/2023,12/12/2023,"1,00000000"
HABT11,31/10/2023,10/11/2023,"1,00000000"
HABT11,29/09/2023,11/10/2023,"1,00000000"
HABT11,31/08/2023,12/09/2023,"1,00000000"
HTMX11,31/07/2024,07/08/2024,"2,30000000"
HTMX11,28/06/2024,05/07/2024,"1,41100686"
HTMX11,31/05/2024,07/06/2024,"1,97585877"
HTMX11,30/04/2024,08/05/2024,"2,18651887"
HTMX11,28/03/2024,05/04/2024,"1,66171075"
HTMX11,29/02/2024,07/03/2024,"2,60000000"
HTMX11,31/01/2024,07/02/2024,"0,86256093"
HTMX11,28/12/2023,08/01/2024,"3,25426175"
HTMX11,30/11/2023,07/12/2023,"3,70000000"
